Value,Timestamp
Up,2022-10-26T15:40:44.8699392-07:00
Up,2022-10-26T15:40:45.5076864-07:00
Up,2022-10-26T15:40:45.6903680-07:00
Up,2022-10-26T15:40:45.8431232-07:00
Up,2022-10-26T15:40:45.9833088-07:00
Up,2022-10-26T15:40:53.9074432-07:00
Up,2022-10-26T15:40:54.2257024-07:00
Up,2022-10-26T15:40:54.3879808-07:00
Up,2022-10-26T15:40:54.5360896-07:00
Up,2022-10-26T15:40:54.6845696-07:00
Up,2022-10-26T15:40:54.8219008-07:00
Up,2022-10-26T15:40:54.9635456-07:00
Up,2022-10-26T15:40:55.1043840-07:00
Up,2022-10-26T15:40:55.2514304-07:00
Up,2022-10-26T15:40:55.3930880-07:00
Up,2022-10-26T15:40:55.5266560-07:00
Up,2022-10-26T15:40:55.6656384-07:00
Up,2022-10-26T15:41:02.6064000-07:00
Up,2022-10-26T15:41:02.7313664-07:00
Up,2022-10-26T15:41:02.8704384-07:00
Up,2022-10-26T15:41:02.9983232-07:00
Up,2022-10-26T15:41:03.2035840-07:00
Up,2022-10-26T15:41:06.8942464-07:00
Up,2022-10-26T15:41:07.3953024-07:00
Up,2022-10-26T15:41:07.4789760-07:00
Up,2022-10-26T15:41:07.5634048-07:00
Up,2022-10-26T15:41:07.6472960-07:00
Up,2022-10-26T15:41:07.7315200-07:00
Up,2022-10-26T15:41:07.8151168-07:00
Up,2022-10-26T15:41:07.8992896-07:00
Up,2022-10-26T15:41:07.9837184-07:00
Up,2022-10-26T15:41:08.0675968-07:00
Up,2022-10-26T15:41:08.1511936-07:00
Up,2022-10-26T15:41:08.2356352-07:00
Up,2022-10-26T15:41:08.3188864-07:00
Up,2022-10-26T15:41:08.4035328-07:00
Up,2022-10-26T15:41:08.4873984-07:00
Up,2022-10-26T15:41:08.5715456-07:00
Up,2022-10-26T15:41:08.6555392-07:00
Up,2022-10-26T15:41:08.7388544-07:00
Up,2022-10-26T15:41:08.8220416-07:00
Up,2022-10-26T15:41:08.9059072-07:00
Up,2022-10-26T15:41:08.9903232-07:00
Up,2022-10-26T15:41:09.0740352-07:00
Up,2022-10-26T15:41:09.1582592-07:00
Up,2022-10-26T15:41:09.2427648-07:00
Up,2022-10-26T15:41:09.3266048-07:00
Up,2022-10-26T15:41:09.4100096-07:00
Up,2022-10-26T15:41:09.4942208-07:00
Up,2022-10-26T15:41:09.5790592-07:00
Up,2022-10-26T15:41:09.6609664-07:00
Up,2022-10-26T15:41:09.7449856-07:00
Up,2022-10-26T15:41:09.8293248-07:00
Up,2022-10-26T15:41:09.9132672-07:00
Up,2022-10-26T15:41:09.9967360-07:00
Up,2022-10-26T15:41:10.0803840-07:00
Up,2022-10-26T15:41:10.1686528-07:00
Up,2022-10-26T15:41:10.2488960-07:00
Up,2022-10-26T15:41:10.3331584-07:00
Up,2022-10-26T15:41:10.4145920-07:00
Up,2022-10-26T15:41:10.5012224-07:00
Up,2022-10-26T15:41:10.5853056-07:00
Up,2022-10-26T15:41:10.6690432-07:00
Up,2022-10-26T15:41:10.7531520-07:00
Up,2022-10-26T15:41:10.8373760-07:00
Up,2022-10-26T15:41:10.9213056-07:00
Up,2022-10-26T15:41:11.0049792-07:00
Up,2022-10-26T15:41:11.0891008-07:00
Up,2022-10-26T15:41:11.1748992-07:00
Up,2022-10-26T15:41:11.2575232-07:00
Up,2022-10-26T15:41:11.3408512-07:00
Up,2022-10-26T15:41:11.4241792-07:00
Up,2022-10-26T15:41:11.5084800-07:00
Up,2022-10-26T15:41:11.5916672-07:00
Up,2022-10-26T15:41:11.6753664-07:00
Up,2022-10-26T15:41:11.7605760-07:00
Up,2022-10-26T15:41:11.8435584-07:00
Up,2022-10-26T15:41:11.9278336-07:00
Up,2022-10-26T15:41:12.0127232-07:00
Up,2022-10-26T15:41:12.0975360-07:00
Up,2022-10-26T15:41:12.1802880-07:00
Up,2022-10-26T15:41:12.2639744-07:00
Up,2022-10-26T15:41:12.3482624-07:00
Up,2022-10-26T15:41:12.4316800-07:00
Up,2022-10-26T15:41:12.5166336-07:00
Up,2022-10-26T15:41:12.5997184-07:00
Up,2022-10-26T15:41:12.6835712-07:00
