Item1.Orientation,Item1.Speed,Item1.Contrast,Item1.Duration,Item1.Angle,Item2
0,0,1,1,0,GOGRATINGS
0,0,1,1,90,NOGOGRATINGS
0,0,1,1,0,NOGOGRATINGS
